"idnum","uniq_id","year","estratopri","strata","upm","prov1t","q1tb","q2","wt","weight1500","idio2","fs2","it1","l1b","vic1ext","pole2n","aoj11","wvsi2","wvsi3","cses6n","b2","b3","b4","b6","b32","b37","b47a","b21a","b43","ed_usa"
"1",21400000001,2021,"Midwest",4000002021,400000121,"Illinois","1",75,0.77,0.772900343,"0","0","7.5","1","0","7.5","7.5","1","0","2.5","4","5","3","5","3","4","7","7","4","4-year college degree"
"2",21400000002,2021,"Midwest",4000002021,400000221,"Michigan","0",69,1.2,1.198801279,"0","0","10","7","1","10","10","0","0","2.5","7","7","7","7","6","1","5","1","6","4-year college degree"
"3",21400000003,2021,"South",4000002021,400000321,"South Carolina","1",61,0.9,0.903938651,"0","0","10","1","0","7.5","7.5","1","0","5","5","5","5","5","5","4","5","7","7","4-year college degree"
"4",21400000004,2021,"Midwest",4000002021,400000421,"Iowa","0",68,0.9,0.901721597,"1","0","10","3","0","7.5","10","0","0","2.5","3","5","6","6","6","5","7","6","6","4-year college degree"
"5",21400000005,2021,"Midwest",4000002021,400000521,"Indiana","1",21,1.26,1.256124496,"0","1","2.5","1","0","7.5","7.5","1","1","5","2","1","1","3","1","4","7","4","1","Some college, but no degree (yet)"
"6",21400000006,2021,"Northeast",4000002021,400000621,"Pennsylvania","0",65,0.76,0.76295507,"0","0","10","1","0","10","10","0","0","10","5","5","7","7","7","4","6","6","7","2-year college degree"
"7",21400000007,2021,"South",4000002021,400000721,"Virginia","1",51,1.16,1.164433122,"0","0","7.5","7","0","7.5","10","1","0","5","5","4","5","5","3","2","3","3","5","Some college, but no degree (yet)"
"8",21400000008,2021,"Midwest",4000002021,400000821,"Iowa","0",73,1.24,1.242865801,"0","0","7.5","9","0","10","10","1","0","2.5","1","2","7","6","6","1","3","1","7","2-year college degree"
"9",21400000009,2021,"South",4000002021,400000921,"Texas","1",73,1.18,1.183377266,"0","0","7.5","9","0","10","10","1","0","7.5","4","3","4","4","6","1","2","1","7","2-year college degree"
"10",21400000010,2021,"South",4000002021,400001021,"Texas","0",42,1.27,1.269331694,"1","0","5","6","1","5","5","1","1","2.5","5","4","5","6","3","2","4","3","6","2-year college degree"
"11",21400000011,2021,"South",4000002021,400001121,"Tennessee","1",75,0.9,0.902961135,"0","0","7.5","4","0","7.5","7.5","1","0","0","3","2","4","6","3","2","4","7","7","High school graduate"
"12",21400000012,2021,"West",4000002021,400001221,"California","1",65,0.77,0.772900343,"0","0","7.5","1","0","7.5","7.5","1","1","7.5","6","4","4","4","4","5","6","7","6","4-year college degree"
"13",21400000013,2021,"Midwest",4000002021,400001321,"Missouri","0",63,0.8,0.80151403,"0","0","7.5","5","0","7.5","7.5","0","0","5","6","5","7","5","5","1","7","7","7","4-year college degree"
"14",21400000014,2021,"West",4000002021,400001421,"California","1",48,0.83,0.834439099,"0","0","5","5","0","2.5","2.5","1","0","5","4","4","4","4","1","4","5","5","4","4-year college degree"
"15",21400000015,2021,"Northeast",4000002021,400001521,"Massachusetts","0",68,0.96,0.963359296,"1","0","10","4","0","7.5","10","0","1","0","3","3","3","3","5","3","5","6","3","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)"
"16",21400000016,2021,"West",4000002021,400001621,"Oregon","0",61,0.96,0.961384714,"0","0","7.5","8","0","7.5","7.5","1","1","5","4","4","5","5","6","2","5","5","5","4-year college degree"
"17",21400000017,2021,"West",4000002021,400001721,"Arizona","0",44,0.59,0.594534397,"1","0","7.5","1","1","7.5","7.5","0","1","5","2","2","3","5","7","4","6","5","2","4-year college degree"
"18",21400000018,2021,"Midwest",4000002021,400001821,"Missouri","0",63,0.33,0.334206253,"0","0","7.5","6","0","7.5","10","0","0","2.5","3","2","3","3","4","3","5","3","4","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)"
"19",21400000019,2021,"Midwest",4000002021,400001921,"Indiana","1",61,0.98,0.984381914,"0","0","7.5","3","1","7.5","5","1","0","2.5","2","1","2","1","3","4","3","4","3","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)"
"20",21400000020,2021,"Midwest",4000002021,400002021,"Ohio","0",71,0.79,0.793210864,"0","0","7.5","7","0","10","10","1","0","5","1","2","5","4","4","1","3","1","7","Some college, but no degree (yet)"
"21",21400000021,2021,"Northeast",4000002021,400002121,"Pennsylvania","0",68,1.54,1.535353899,"0","0","7.5","8","0","7.5","7.5","0","0","2.5","5","3","3","4","3","1","2","3","5","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)"
"22",21400000022,2021,"West",4000002021,400002221,"California","0",68,0.85,0.845028043,"0","0","7.5","4","0","7.5","10","0","1","5","5","5","6","5","6","6","7","7","5","4-year college degree"
"23",21400000023,2021,"West",4000002021,400002321,"Colorado","0",18,5.73,5.72735548,"0","0","2.5","9","1","10","5","1","1","10","1","1","3","1","1","1","6","1","7","High school graduate"
"24",21400000024,2021,"South",4000002021,400002421,"West Virginia","1",63,0.82,0.815841079,"1","0","7.5","7","0","10","10","0","0","2.5","5","5","6","6","6","3","6","3","7","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)"
"25",21400000025,2021,"South",4000002021,400002521,"Texas","1",63,0.71,0.713720322,"1","0","7.5","5","0","7.5","10","1","0","5","4","4","5","5","6","5","5","4","7","High school graduate"
"26",21400000026,2021,"South",4000002021,400002621,"Florida","0",36,0.82,0.821897209,"0","0","7.5","10","0","10","7.5","1","0","7.5","7","7","7","7","7","1","7","4","7","4-year college degree"
"27",21400000027,2021,"Midwest",4000002021,400002721,"Wisconsin","1",33,0.59,0.589335203,"1","0","10","1","0","7.5","10","0","0","2.5","5","4","3","4","5","5","6","7","5","Postgraduate degree (MA, MBA, MD, JD, PhD, etc.)"
"28",21400000028,2021,"South",4000002021,400002821,"Virginia","0",77,1.14,1.137722015,"0","0","7.5","10","0","10","10","0","0","7.5","2","2","6","6","6","1","2","1","6","4-year college degree"
"29",21400000029,2021,"Midwest",4000002021,400002921,"Michigan","1",58,1.37,1.37346673,"0","1","7.5","8","1","10","10","1","0","5","1","1","6","6","5","1","3","1","7","Some college, but no degree (yet)"
"30",21400000030,2021,"South",4000002021,400003021,"Georgia","1",52,0.96,0.961230755,"0","0","7.5","4","0","7.5","7.5","0","0","2.5","4","3","5","7","3","5","7","6","6","4-year college degree"
"31",21400000031,2021,"South",4000002021,400003121,"Florida","1",73,0.9,0.902961135,"0","0","5","5","0","7.5","10","1","1","0","5","6","6","6","5","6","7","7","7","High school graduate"
"32",21400000032,2021,"South",4000002021,400003221,"Tennessee","1",53,1.02,1.022954106,"0","0","2.5","10","0","10","10","1","0","10","7","7","7","7","7","6","7","6","7","High school graduate"
"33",21400000033,2021,"West",4000002021,400003321,"Washington","1",50,0.96,0.961230755,"1","0","7.5","1","0","7.5","10","1","0","0","5","5","4","4","5","5","6","6","4","4-year college degree"
"34",21400000034,2021,"South",4000002021,400003421,"Delaware","0",65,0.85,0.845028043,"0","0","10","2","0","10","10","1","0","2.5","4","5","4","5","6","5","6","6","5","4-year college degree"
"35",21400000035,2021,"West",4000002021,400003521,"California","0",51,1.14,1.13707006,"0","0","7.5","10","1","10","10","0","0","2.5","4","5","7","6","4","1","3","1","6","4-year college degree"
"36",21400000036,2021,"South",4000002021,400003621,"West Virginia","1",62,1.09,1.091222286,"0","0","7.5","8","0","7.5","7.5","1",NA,"5","3","3","1","4","1","1","1","1","3","Some college, but no degree (yet)"
"37",21400000037,2021,"Midwest",4000002021,400003721,"Missouri","1",80,0.46,0.461662978,"0","0","5","5","0","7.5","7.5","1","1","7.5","3","2","3","4","5","4","5","4","5","Some college, but no degree (yet)"
"38",21400000038,2021,"Midwest",4000002021,400003821,"Michigan","1",75,0.33,0.330206454,"0","0","5","6","0","7.5","10","1","0","5","3","5","7","7","3","1","5","5","7","Some college, but no degree (yet)"
